City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Marshalltown,42.0494,-92.908,88.09,39,1,10.36,US,2021-09-29 22:08:03
68,Roebourne,-20.7833,117.1333,72.27,27,5,6.42,AU,2021-09-29 22:08:04
69,Tasiilaq,65.6145,-37.6368,37.56,67,10,7.49,GL,2021-09-29 22:08:04
70,Manokwari,-0.8667,134.0833,80.6,74,83,1.16,ID,2021-09-29 22:08:05
71,Vila Franca Do Campo,37.7167,-25.4333,72.01,89,10,2.64,PT,2021-09-29 22:08:05
72,Kruisfontein,-34.0033,24.7314,54.88,80,100,11.36,ZA,2021-09-29 22:08:05
73,Miranda,3.2499,-76.2281,78.93,87,94,1.9,CO,2021-09-29 22:08:06
74,Port Elizabeth,-33.918,25.5701,57.09,70,100,16.93,ZA,2021-09-29 22:08:06
75,Victoria,22.2855,114.1577,85.32,88,3,5.01,HK,2021-09-29 22:04:05
76,Carlow,52.8408,-6.9261,54.68,84,100,11.88,IE,2021-09-29 22:08:06
77,Bambous Virieux,-20.3428,57.7575,71.85,78,40,11.5,MU,2021-09-29 22:08:07
78,Sao Filipe,14.8961,-24.4956,79.27,81,76,4.25,CV,2021-09-29 22:08:07
79,Along,28.1667,94.7667,70.41,98,42,1.66,IN,2021-09-29 22:08:07
80,Constitucion,-35.3333,-72.4167,54.03,64,1,5.86,CL,2021-09-29 22:08:08
81,Khromtau,50.2503,58.4347,36.68,80,99,10.13,KZ,2021-09-29 22:08:08
82,Cidreira,-30.1811,-50.2056,63.93,85,61,15.3,BR,2021-09-29 22:08:08
83,Ardakan,32.31,54.0175,77.38,18,0,6.91,IR,2021-09-29 22:08:09
84,Sola,-13.8833,167.55,79.61,80,83,22.15,VU,2021-09-29 22:08:09
85,Maniitsoq,65.4167,-52.9,34.09,63,100,3.69,GL,2021-09-29 22:08:10
86,Hobart,-42.8794,147.3294,53.26,78,75,5.75,AU,2021-09-29 22:08:10
87,Kodiak,57.79,-152.4072,51.31,35,1,14.97,US,2021-09-29 22:08:10
88,Punta Arenas,-53.15,-70.9167,50.11,46,100,25.01,CL,2021-09-29 22:03:21
89,Gunjur,13.2019,-16.7339,80.67,89,0,4.61,GM,2021-09-29 22:08:11
90,Gazanjyk,39.2446,55.5154,64.15,47,0,11.99,TM,2021-09-29 22:08:11
91,Torbay,47.6666,-52.7314,60.49,94,47,1.99,CA,2021-09-29 22:05:38
