City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
566,Nizip,TR,37.0097,37.7942,73.53,26,0,18.86,clear sky
567,Sosnogorsk,RU,63.6023,53.8817,32.27,80,99,3.44,overcast clouds
568,Jardim,BR,-21.4803,-56.1381,96.51,32,8,13.78,clear sky
569,Boyolangu,ID,-8.1181,111.8935,74.16,88,69,5.19,broken clouds
570,Pisco,PE,-13.7,-76.2167,68.05,64,40,17.27,scattered clouds
571,Nelson Bay,AU,-32.7167,152.15,65.68,85,99,8.99,overcast clouds
572,Khorixas,NA,-20.3667,14.9667,62.53,46,1,9.42,clear sky
573,Cabra,ES,37.4725,-4.4421,63.84,88,7,1.99,clear sky
574,Santa Maria,BR,-29.6842,-53.8069,72.7,68,75,5.75,broken clouds
575,Olaine,LV,56.7853,23.9381,55.36,62,0,12.66,clear sky
576,Tautira,PF,-17.7333,-149.15,80.62,77,10,9.53,light rain
577,Bolobo,CD,-2.1667,16.2333,75.02,85,91,1.77,light rain
578,Kapuvar,HU,47.5922,17.0289,66.25,56,2,19.48,clear sky
579,Yamada,JP,39.4667,141.95,60.87,90,7,8.77,clear sky
580,Ola,RU,59.5833,151.2833,37.44,72,100,12.28,overcast clouds
581,Masuguru,TZ,-11.3667,38.4167,79.95,45,23,9.82,few clouds
582,Sechura,PE,-5.5569,-80.8222,77.88,53,21,14.41,few clouds
583,Berbera,SO,10.4396,45.0143,90.41,53,100,1.28,overcast clouds
584,Kozluk,TR,38.1938,41.4885,68.25,31,0,3.22,clear sky
585,Paracuru,BR,-3.41,-39.0306,86.02,67,0,15.84,clear sky
586,Cabedelo,BR,-6.9811,-34.8339,83.07,68,4,14.14,clear sky
587,Aksu,CN,41.1231,80.2644,53.17,53,100,7.52,light rain
588,Konstantinovka,RU,49.6167,127.9833,33.98,83,23,5.95,few clouds
589,Quelimane,MZ,-17.8786,36.8883,80.55,69,0,14.97,clear sky
590,Nova Borova,UA,50.693,28.6345,46.67,61,79,8.68,broken clouds
591,Sars,RU,56.5502,57.1366,31.39,74,55,4.79,broken clouds
592,Bac Lieu,VN,9.285,105.7244,76.6,91,100,7.7,overcast clouds
593,Lovozero,RU,68.005,35.0117,41.11,89,15,7.65,few clouds
594,Barao De Melgaco,BR,-16.1944,-55.9675,99.12,30,95,7.49,overcast clouds
595,Auki,SB,-8.7676,160.7034,76.28,88,19,3.18,few clouds
596,Moerai,PF,-22.4333,-151.3333,74.16,78,39,15.05,light rain
597,Irgakly,RU,44.3611,44.7556,53.24,76,100,15.68,overcast clouds
598,Sokoto,NG,13.0609,5.239,88.95,34,49,4.52,scattered clouds
599,Pushkino,RU,56.0172,37.8667,42.22,78,100,4.43,overcast clouds
600,Balkanabat,TM,39.5108,54.3671,65.14,18,0,18.3,clear sky
601,Potsdam,DE,52.3989,13.0657,69.12,74,100,8.61,overcast clouds
602,Peterhead,GB,57.5058,-1.7981,53.11,66,100,21.68,overcast clouds
603,Sydney Mines,CA,46.2367,-60.2177,59.25,81,100,1.99,overcast clouds
604,Elizabeth City,US,36.2946,-76.2511,87.01,58,20,8.01,few clouds
605,Nyagan,RU,62.1406,65.3936,27.75,85,11,4.14,few clouds
606,Mountain Home,US,43.133,-115.6912,73.56,20,1,13.8,clear sky
607,Tete,MZ,-16.1564,33.5867,92.86,24,68,2.06,broken clouds
608,Onega,RU,63.9061,38.1404,44.29,91,6,6.29,clear sky
609,Peruibe,BR,-24.32,-46.9983,70.32,96,100,4.36,light rain
610,Keetmanshoop,NA,-26.5833,18.1333,65.52,20,0,5.41,clear sky
611,Mizdah,LY,31.4451,12.9801,75.88,37,8,12.46,clear sky
612,Kalmunai,LK,7.4167,81.8167,80.49,81,100,5.46,overcast clouds
613,Itum-Kale,RU,42.7356,45.5758,52.41,98,99,0.25,overcast clouds
614,Costinesti,RO,43.95,28.6333,54.72,73,39,10.16,scattered clouds
615,Vidalia,US,32.2177,-82.4135,89.55,40,75,0.0,broken clouds
