City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
461,Sundumbili,ZA,58.53,light rain,-29.1337,31.3975,The Plover Bed and Breakfast
466,Shubarkuduk,KZ,50.38,overcast clouds,49.1447,56.4872,Sirius
471,Great Yarmouth,GB,55.65,clear sky,52.6083,1.7305,Comfort Hotel Great Yarmouth
472,Qax,AZ,54.59,overcast clouds,41.4225,46.9242,El Resort Hotel
475,Colesberg,ZA,51.75,clear sky,-30.72,25.0972,Bhelekazi Guesthouse
480,Bonavista,CA,59.0,broken clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
485,Kuressaare,EE,55.94,overcast clouds,58.2481,22.5039,Spa Hotel Rüütli
490,Gol,NO,50.85,light rain,60.7014,8.9457,Pers Cottages
495,Lillesand,NO,50.04,light rain,58.2488,8.3778,Lillesand Hotel Norway
501,Lasa,IT,58.08,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
510,Svetlyy,RU,55.45,overcast clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
520,Puerto Varas,CL,52.02,broken clouds,-41.3195,-72.9854,Hotel Solace Puerto Varas
521,Hinton,CA,52.11,broken clouds,53.4001,-117.5857,Econo Lodge & Suites
524,Port Hedland,AU,59.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
527,Shahrud,IR,58.8,clear sky,36.4182,54.9763,Royal Hotel
544,Ostersund,SE,52.61,light rain,63.1792,14.6357,Best Western Hotel Gamla Teatern
547,Asau,RO,50.76,clear sky,46.4333,26.4,Casa Mika Ciobanus
553,Dawlatabad,AF,54.91,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
575,Olaine,LV,55.36,clear sky,56.7853,23.9381,"SIA Zemgales 29 , Hostelis"
587,Aksu,CN,53.17,light rain,41.1231,80.2644,Pudong Holiday Hotel
602,Peterhead,GB,53.11,overcast clouds,57.5058,-1.7981,Palace Hotel
603,Sydney Mines,CA,59.25,overcast clouds,46.2367,-60.2177,At The Harbourfront B&B Inc
613,Itum-Kale,RU,52.41,overcast clouds,42.7356,45.5758,Мини-отель ASTAR
614,Costinesti,RO,54.72,scattered clouds,43.95,28.6333,Villa Mar Bella
618,Andenes,NO,53.58,broken clouds,69.3143,16.1194,Hotell Marena
633,Visnes,NO,57.58,scattered clouds,59.3556,5.2242,Park Inn Haugesund Airport
645,Stornoway,GB,53.92,broken clouds,58.2093,-6.3865,Caladh Inn
663,Port Augusta,AU,55.54,clear sky,-32.5,137.7667,Majestic Oasis Apartments
679,Burnie,AU,53.92,light rain,-41.0667,145.9167,Beachfront Voyager Motor Inn
684,Sorland,NO,53.67,light rain,67.667,12.6934,Sjybrygga fiskecamp
